road_link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,notes
30,10,17,1600_2000,0.000,606.133,0.792,period-based
31,11,4,0600_1100,0.000,1393.333,0.258,period-based
31,11,4,1600_2000,0.000,606.133,0.594,period-based
32,11,10,0600_1100,0.000,1393.333,0.215,period-based
32,11,10,1600_2000,0.000,606.133,0.495,period-based
33,11,12,0600_1100,0.000,1393.333,0.258,period-based
33,11,12,1600_2000,0.000,606.133,0.594,period-based
34,11,14,0600_1100,0.000,1393.333,0.172,period-based
34,11,14,1600_2000,0.000,606.133,0.396,period-based
35,12,3,0600_1100,0.000,1393.333,0.172,period-based
35,12,3,1600_2000,0.000,606.133,0.396,period-based
36,12,11,0600_1100,0.000,1393.333,0.258,period-based
36,12,11,1600_2000,0.000,606.133,0.594,period-based
37,12,13,0600_1100,0.000,1393.333,0.129,period-based
37,12,13,1600_2000,0.000,606.133,0.297,period-based
38,13,12,0600_1100,0.000,1393.333,0.129,period-based
38,13,12,1600_2000,0.000,606.133,0.297,period-based
39,13,24,0600_1100,0.000,1393.333,0.172,period-based
39,13,24,1600_2000,0.000,606.133,0.396,period-based
40,14,11,0600_1100,0.000,1393.333,0.172,period-based
40,14,11,1600_2000,0.000,606.133,0.396,period-based
41,14,15,0600_1100,0.000,1393.333,0.215,period-based
41,14,15,1600_2000,0.000,606.133,0.495,period-based
42,14,23,0600_1100,0.000,1393.333,0.172,period-based
42,14,23,1600_2000,0.000,606.133,0.396,period-based
43,15,10,0600_1100,0.000,1393.333,0.258,period-based
43,15,10,1600_2000,0.000,606.133,0.594,period-based
44,15,14,0600_1100,0.000,1393.333,0.215,period-based
44,15,14,1600_2000,0.000,606.133,0.495,period-based
45,15,19,0600_1100,0.000,1393.333,0.129,period-based
45,15,19,1600_2000,0.000,606.133,0.297,period-based
46,15,22,0600_1100,0.000,1393.333,0.129,period-based
46,15,22,1600_2000,0.000,606.133,0.297,period-based
47,16,8,0600_1100,0.000,1393.333,0.215,period-based
47,16,8,1600_2000,0.000,606.133,0.495,period-based
48,16,10,0600_1100,0.000,1393.333,0.172,period-based
48,16,10,1600_2000,0.000,606.133,0.396,period-based
49,16,17,0600_1100,0.000,1393.333,0.086,period-based
49,16,17,1600_2000,0.000,606.133,0.198,period-based
50,16,18,0600_1100,0.000,1393.333,0.129,period-based
50,16,18,1600_2000,0.000,606.133,0.297,period-based
51,17,10,0600_1100,0.000,1393.333,0.344,period-based
51,17,10,1600_2000,0.000,606.133,0.792,period-based
52,17,16,0600_1100,0.000,1393.333,0.086,period-based
52,17,16,1600_2000,0.000,606.133,0.198,period-based
53,17,19,0600_1100,0.000,1393.333,0.086,period-based
53,17,19,1600_2000,0.000,606.133,0.198,period-based
54,18,7,0600_1100,0.000,1393.333,0.086,period-based
54,18,7,1600_2000,0.000,606.133,0.198,period-based
55,18,16,0600_1100,0.000,1393.333,0.129,period-based
55,18,16,1600_2000,0.000,606.133,0.297,period-based
56,18,20,0600_1100,0.000,1393.333,0.172,period-based
56,18,20,1600_2000,0.000,606.133,0.396,period-based
57,19,15,0600_1100,0.000,1393.333,0.129,period-based
57,19,15,1600_2000,0.000,606.133,0.297,period-based
58,19,17,0600_1100,0.000,1393.333,0.086,period-based
58,19,17,1600_2000,0.000,606.133,0.198,period-based
59,19,20,0600_1100,0.000,1393.333,0.172,period-based
59,19,20,1600_2000,0.000,606.133,0.396,period-based
60,20,18,0600_1100,0.000,1393.333,0.172,period-based
60,20,18,1600_2000,0.000,606.133,0.396,period-based
61,20,19,0600_1100,0.000,1393.333,0.172,period-based
61,20,19,1600_2000,0.000,606.133,0.396,period-based
62,20,21,0600_1100,0.000,1393.333,0.258,period-based
62,20,21,1600_2000,0.000,606.133,0.594,period-based
63,20,22,0600_1100,0.000,1393.333,0.215,period-based
63,20,22,1600_2000,0.000,606.133,0.495,period-based
64,21,20,0600_1100,0.000,1393.333,0.258,period-based
64,21,20,1600_2000,0.000,606.133,0.594,period-based
65,21,22,0600_1100,0.000,1393.333,0.086,period-based
65,21,22,1600_2000,0.000,606.133,0.198,period-based
66,21,24,0600_1100,0.000,1393.333,0.129,period-based
66,21,24,1600_2000,0.000,606.133,0.297,period-based
67,22,15,0600_1100,0.000,1393.333,0.129,period-based
67,22,15,1600_2000,0.000,606.133,0.297,period-based
68,22,20,0600_1100,0.000,1393.333,0.215,period-based
68,22,20,1600_2000,0.000,606.133,0.495,period-based
69,22,21,0600_1100,0.000,1393.333,0.086,period-based
69,22,21,1600_2000,0.000,606.133,0.198,period-based
70,22,23,0600_1100,0.000,1393.333,0.172,period-based
70,22,23,1600_2000,0.000,606.133,0.396,period-based
71,23,14,0600_1100,0.000,1393.333,0.172,period-based
71,23,14,1600_2000,0.000,606.133,0.396,period-based
72,23,22,0600_1100,0.000,1393.333,0.172,period-based
72,23,22,1600_2000,0.000,606.133,0.396,period-based
73,23,24,0600_1100,0.000,1393.333,0.086,period-based
73,23,24,1600_2000,0.000,606.133,0.198,period-based
74,24,13,0600_1100,0.000,1393.333,0.172,period-based
74,24,13,1600_2000,0.000,606.133,0.396,period-based
75,24,21,0600_1100,0.000,1393.333,0.129,period-based
75,24,21,1600_2000,0.000,606.133,0.297,period-based
76,24,23,0600_1100,0.000,1393.333,0.086,period-based
76,24,23,1600_2000,0.000,606.133,0.198,period-based
